"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"OSM" 0 0.42509488168376 0.374 0.169 0 "0" "OSM"
"IRF8" 0 0.42493558506524 0.502 0.19 0 "0" "IRF8"
"KIF1B" 0 0.424789213522699 0.422 0.155 0 "0" "KIF1B"
"HELZ" 0 0.424754762049975 0.486 0.184 0 "0" "HELZ"
"EPS15" 0 0.421076212784227 0.462 0.174 0 "0" "EPS15"
"ITSN1" 0 0.419874817440695 0.44 0.138 0 "0" "ITSN1"
"NINJ1" 0 0.418463377389724 0.818 0.468 0 "0" "NINJ1"
"WNK1" 0 0.417431039039024 0.596 0.271 0 "0" "WNK1"
"ACTR2" 0 0.416896446827152 0.872 0.534 0 "0" "ACTR2"
"CD14" 0 0.416364433217415 0.971 0.76 0 "0" "CD14"
"EPB41L3" 0 0.416055954166394 0.547 0.219 0 "0" "EPB41L3"
"ARL5B" 0 0.413752485752891 0.404 0.168 0 "0" "ARL5B"
"ATP2A2" 0 0.409280050659078 0.497 0.217 0 "0" "ATP2A2"
"CD163L1" 0 0.409109830723447 0.29 0.057 0 "0" "CD163L1"
"TMEM123" 0 0.408932367099047 0.729 0.381 0 "0" "TMEM123"
"MALT1" 0 0.408529090647508 0.364 0.148 0 "0" "MALT1"
"RBM47" 0 0.408377121565573 0.574 0.257 0 "0" "RBM47"
"ZFP36L2" 0 0.408328259523782 0.788 0.466 0 "0" "ZFP36L2"
"GNS" 0 0.408062189869329 0.662 0.307 0 "0" "GNS"
"RASGRP3" 0 0.407678109177075 0.321 0.111 0 "0" "RASGRP3"
"TACC1" 0 0.406127729439505 0.621 0.295 0 "0" "TACC1"
"GBP2" 0 0.405462833906416 0.498 0.234 0 "0" "GBP2"
"NCF4" 0 0.405172686791811 0.643 0.293 0 "0" "NCF4"
"TLR4" 0 0.40502919520949 0.499 0.189 0 "0" "TLR4"
"YBX3" 0 0.404467454520691 0.757 0.438 0 "0" "YBX3"
"FAM53C" 0 0.404050673208773 0.368 0.135 0 "0" "FAM53C"
"RGL1" 0 0.403246353610488 0.354 0.106 0 "0" "RGL1"
"WSB1" 0 0.402988331664268 0.821 0.472 0 "0" "WSB1"
"FRMD4B" 0 0.402860156741814 0.646 0.295 0 "0" "FRMD4B"
"TNFRSF1B" 0 0.401591387233933 0.699 0.323 0 "0" "TNFRSF1B"
"IGSF6" 0 0.401191341075751 0.749 0.455 0 "0" "IGSF6"
"THEMIS2" 0 0.399513110889909 0.578 0.264 0 "0" "THEMIS2"
"LAIR1" 0 0.399278009027693 0.754 0.364 0 "0" "LAIR1"
"HOMER3" 0 0.39904054236074 0.564 0.228 0 "0" "HOMER3"
"SULT1A1" 0 0.397637632274806 0.428 0.152 0 "0" "SULT1A1"
"FUCA1" 0 0.396710336037562 0.522 0.197 0 "0" "FUCA1"
"IER2" 0 0.396326983895293 0.915 0.682 0 "0" "IER2"
"PIM3" 0 0.39579193311986 0.533 0.278 0 "0" "PIM3"
"CREBRF" 0 0.395740620860497 0.422 0.169 0 "0" "CREBRF"
"RNF130" 0 0.395350470418524 0.842 0.489 0 "0" "RNF130"
"EVA1B" 0 0.394571277710327 0.483 0.175 0 "0" "EVA1B"
"NEU1" 0 0.394002778176261 0.543 0.257 0 "0" "NEU1"
"STX4" 0 0.393784479483282 0.56 0.269 0 "0" "STX4"
"UCP2" 0 0.393546369007586 0.703 0.383 0 "0" "UCP2"
"DOK2" 0 0.393424168148897 0.612 0.285 0 "0" "DOK2"
"GLUL" 0 0.392457575819487 0.934 0.628 0 "0" "GLUL"
"CCNL1" 0 0.392186816537537 0.791 0.467 0 "0" "CCNL1"
"FRMD4A" 0 0.391394643888595 0.458 0.155 0 "0" "FRMD4A"
"TSC22D1" 0 0.391108621766682 0.394 0.196 0 "0" "TSC22D1"
"GPNMB" 0 0.390029771746235 0.81 0.497 0 "0" "GPNMB"
"MAN1A1" 0 0.389192976386065 0.306 0.111 0 "0" "MAN1A1"
"MYO9B" 0 0.389119969205606 0.56 0.227 0 "0" "MYO9B"
"STAT1" 0 0.388985371737017 0.439 0.224 0 "0" "STAT1"
"MAP2K3" 0 0.388598579515141 0.504 0.266 0 "0" "MAP2K3"
"HSPA8" 0 0.388454138745804 0.953 0.715 0 "0" "HSPA8"
"SGPL1" 0 0.387957848642461 0.459 0.175 0 "0" "SGPL1"
"FMNL2" 0 0.387215057808758 0.441 0.147 0 "0" "FMNL2"
"CEMIP2" 0 0.385274387134335 0.26 0.079 0 "0" "CEMIP2"
"GPRIN3" 0 0.3843048548584 0.444 0.181 0 "0" "GPRIN3"
"CDV3" 0 0.380290717984727 0.728 0.375 0 "0" "CDV3"
"CEBPD" 0 0.37928711642848 0.87 0.564 0 "0" "CEBPD"
"SLC1A3" 0 0.378834024404084 0.408 0.131 0 "0" "SLC1A3"
"CLK1" 0 0.378543654347865 0.619 0.327 0 "0" "CLK1"
"TRIB1" 0 0.378164108069301 0.403 0.173 0 "0" "TRIB1"
"ETS2" 0 0.376430726440557 0.576 0.29 0 "0" "ETS2"
"SAV1" 0 0.375762394689063 0.273 0.097 0 "0" "SAV1"
"PLEKHO1" 0 0.372576159224061 0.633 0.328 0 "0" "PLEKHO1"
"ANKRD9" 0 0.371956681645673 0.322 0.099 0 "0" "ANKRD9"
"TMEM37" 0 0.371233620008102 0.423 0.121 0 "0" "TMEM37"
"DPP7" 0 0.370525393525618 0.81 0.467 0 "0" "DPP7"
"SLC3A2" 0 0.36982443672313 0.663 0.358 0 "0" "SLC3A2"
"TCF4" 0 0.369404358265195 0.524 0.237 0 "0" "TCF4"
"NUFIP2" 0 0.369314706457019 0.514 0.237 0 "0" "NUFIP2"
"SLC9A9" 0 0.36879268355031 0.35 0.108 0 "0" "SLC9A9"
"RAB20" 0 0.368754541059355 0.456 0.17 0 "0" "RAB20"
"ARAP1" 0 0.367765028052272 0.452 0.168 0 "0" "ARAP1"
"SNX2" 0 0.366370292496632 0.763 0.423 0 "0" "SNX2"
"ACSL1" 0 0.366225152670852 0.456 0.19 0 "0" "ACSL1"
"HSP90AB1" 0 0.366086215567381 0.982 0.82 0 "0" "HSP90AB1"
"LAMP2" 0 0.365019426774509 0.754 0.393 0 "0" "LAMP2"
"APOL6" 0 0.363965165991151 0.347 0.132 0 "0" "APOL6"
"FGD4" 0 0.363814120782215 0.387 0.153 0 "0" "FGD4"
"PAPSS2" 0 0.363512120340725 0.311 0.123 0 "0" "PAPSS2"
"ADAM9" 0 0.362175408421695 0.583 0.255 0 "0" "ADAM9"
"MT-CYB" 0 0.361858068303245 0.999 0.965 0 "0" "MT-CYB"
"GATM" 0 0.36068185883869 0.462 0.17 0 "0" "GATM"
"SEC14L1" 0 0.360387365367239 0.48 0.194 0 "0" "SEC14L1"
"TSC22D2" 0 0.359776835939462 0.347 0.14 0 "0" "TSC22D2"
"ALDH1A1" 0 0.358145679715629 0.296 0.081 0 "0" "ALDH1A1"
"GPR155" 0 0.356766879569636 0.31 0.084 0 "0" "GPR155"
"PEPD" 0 0.35650023031449 0.585 0.264 0 "0" "PEPD"
