"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"FOS" 7.51881928756742e-50 0.486680565547842 0.641 0.577 1.7593285250979e-45 "0" "FOS"
"ID3" 6.05559285401492e-49 0.67902327103619 0.391 0.31 1.41694817191095e-44 "0" "ID3"
"SEC61G" 4.57580823839676e-46 0.576594259072411 0.607 0.597 1.07069336970246e-41 "0" "SEC61G"
"UQCRH" 5.25570033873178e-44 0.534176356354388 0.695 0.716 1.22978132225985e-39 "0" "UQCRH"
"HSPB1" 6.92248277268837e-43 0.557711721751733 0.424 0.353 1.61979174398135e-38 "0" "HSPB1"
"YBX1" 3.49296947049191e-42 0.423802577845935 0.761 0.77 8.17319926400401e-38 "0" "YBX1"
"RPL17" 1.01883734796975e-41 0.521506411503636 0.529 0.502 2.38397751051442e-37 "0" "RPL17"
"DUSP1" 1.77821611591956e-41 0.473883199505206 0.661 0.644 4.16084788964018e-37 "0" "DUSP1"
"EIF3E" 3.03958329591297e-38 0.444242914327707 0.576 0.576 7.11232095410676e-34 "0" "EIF3E"
"UBB" 1.25181369553785e-34 0.433858553059702 0.902 0.931 2.929118866189e-30 "0" "UBB"
"TMA7" 9.12249842374344e-34 0.274728002528393 0.744 0.773 2.13457340617173e-29 "0" "TMA7"
"MIF" 3.9975363216328e-32 0.557805789278335 0.35 0.295 9.35383523898859e-28 "0" "MIF"
"UQCR11" 6.20138411912658e-32 0.485413459788311 0.595 0.608 1.45106187003443e-27 "0" "UQCR11"
"MINOS1" 1.13845287552497e-31 0.583790021353767 0.468 0.44 2.66386588344088e-27 "0" "MINOS1"
"COX5B" 3.92127119292417e-30 0.537946918623624 0.629 0.656 9.17538246432326e-26 "0" "COX5B"
"TPT1" 1.76200468441085e-28 0.35859537700294 0.96 0.985 4.12291476105294e-24 "0" "TPT1"
"CD69" 1.07090678601788e-27 0.552700213699295 0.54 0.506 2.50581478860324e-23 "0" "CD69"
"LGALS1" 1.43570455897371e-27 0.373614413843685 0.718 0.718 3.35940509754259e-23 "0" "LGALS1"
"MORF4L2" 8.76284580886773e-26 0.685350992233192 0.299 0.258 2.05041829081696e-21 "0" "MORF4L2"
"RORA" 6.10147507107433e-24 0.428067441635547 0.26 0.201 1.42768415188068e-19 "0" "RORA"
"COPS9" 9.19931414986952e-24 0.565126143285205 0.456 0.443 2.15254751792797e-19 "0" "COPS9"
"MT1X" 3.37769723541361e-23 0.2865609586545 0.444 0.392 7.90347376114431e-19 "0" "MT1X"
"SNHG8" 2.025286570487e-22 0.436024741816624 0.39 0.357 4.73896804628252e-18 "0" "SNHG8"
"HIST1H1C" 2.67557028009475e-22 0.490905907981056 0.317 0.271 6.2605668983937e-18 "0" "HIST1H1C"
"GTF2A2" 4.49699439422707e-22 0.651744944478734 0.382 0.364 1.05225171830519e-17 "0" "GTF2A2"
"UQCRQ" 8.37605501328941e-21 0.620759071282922 0.441 0.444 1.95991311255959e-16 "0" "UQCRQ"
"ATP5PF" 8.00745725568689e-20 0.504661151160748 0.572 0.604 1.87366492325818e-15 "0" "ATP5PF"
"FXYD5" 1.31634496955396e-19 0.333500165918585 0.508 0.5 3.08011559425931e-15 "0" "FXYD5"
"POLR2L" 2.52746516017295e-18 0.447297588268663 0.497 0.503 5.91401572828869e-14 "0" "POLR2L"
"KLF2" 1.88276623370553e-17 0.497804351403442 0.381 0.351 4.40548471024756e-13 "0" "KLF2"
