"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"PGK1" 1.15282181290387e-208 0.566592734564558 0.942 0.643 2.69748776001377e-204 "0" "PGK1"
"MRPL35" 2.61308967196985e-208 0.276068933076491 0.647 0.28 6.11436852344225e-204 "0" "MRPL35"
"CD276" 1.6141653684201e-206 0.252093253505158 0.567 0.219 3.77698554556619e-202 "0" "CD276"
"TMEM251" 3.16035888178661e-205 0.317968383174858 0.703 0.32 7.39492374749248e-201 "0" "TMEM251"
"NDUFA8" 7.22735883574038e-205 0.32789048138686 0.856 0.469 1.69112969397489e-200 "0" "NDUFA8"
"RAB1A" 8.93268178044009e-205 0.286970243126533 0.774 0.374 2.09015820980518e-200 "0" "RAB1A"
"BIRC3" 8.829456297636e-202 0.425649742838391 0.685 0.31 2.06600447908385e-197 "0" "BIRC3"
"NDUFA9" 1.2932698686054e-200 0.350746944539256 0.81 0.425 3.02612216554977e-196 "0" "NDUFA9"
"OCSTAMP" 2.14591578400339e-200 0.351627020608296 0.426 0.135 5.02122834298954e-196 "0" "OCSTAMP"
"UROD" 5.48987209174419e-200 0.268329064128205 0.676 0.303 1.28457517074722e-195 "0" "UROD"
"YIF1A" 1.34982802521543e-199 0.292263032496594 0.724 0.345 3.15846259620158e-195 "0" "YIF1A"
"VPS25" 1.65100262051611e-199 0.250524868581362 0.579 0.236 3.86318103174564e-195 "0" "VPS25"
"GMPR" 1.9154614408184e-199 0.394682526668386 0.393 0.118 4.48198822537097e-195 "0" "GMPR"
"SNX10" 2.74635838109231e-199 0.459086998058519 0.957 0.642 6.4262039759179e-195 "0" "SNX10"
"COX5A" 9.92428273036626e-198 0.443546052042933 0.983 0.786 2.3221829160784e-193 "0" "COX5A"
"PTPRE" 2.06158493858562e-197 0.322541599790502 0.637 0.275 4.82390259779649e-193 "0" "PTPRE"
"ADRM1" 3.84824651647152e-197 0.263600850170558 0.705 0.329 9.00451202389171e-193 "0" "ADRM1"
"DLD" 1.58623520661275e-194 0.272449082802026 0.642 0.283 3.71163175995317e-190 "0" "DLD"
"CD59" 1.58989696409882e-193 0.367038439436245 0.837 0.457 3.72019990629483e-189 "0" "CD59"
"ATP5PO" 3.91562399960825e-193 0.446244821194409 0.984 0.807 9.16216859668335e-189 "0" "ATP5PO"
"ATP5MC3" 1.62423193820378e-192 0.470469863960555 0.993 0.845 3.80054031220301e-188 "0" "ATP5MC3"
"PRR13" 2.64839717342215e-192 0.322745589695832 0.825 0.451 6.19698454609049e-188 "0" "PRR13"
"ERLEC1" 5.03112909778733e-192 0.259208502964328 0.665 0.301 1.17723389759126e-187 "0" "ERLEC1"
"CD58" 5.81379781154681e-192 0.311735423984627 0.777 0.381 1.36037054992384e-187 "0" "CD58"
"RHEB" 2.24069820734299e-190 0.343450861548388 0.853 0.46 5.24300973536187e-186 "0" "RHEB"
"VDAC2" 3.79257687082968e-190 0.455910874092367 0.963 0.678 8.87425062005437e-186 "0" "VDAC2"
"BLVRA" 1.01355186870366e-189 0.392902992486454 0.748 0.382 2.37161001757969e-185 "0" "BLVRA"
"TMED3" 1.07478046609202e-189 0.374773679386202 0.837 0.471 2.51487881260871e-185 "0" "TMED3"
"CD33" 1.64315132988058e-189 0.258636585265578 0.672 0.307 3.84480979678758e-185 "0" "CD33"
"MAPK13" 1.49462359959052e-188 0.284281502184413 0.61 0.27 3.49726976068187e-184 "0" "MAPK13"
"SLC39A1" 7.31264834935202e-188 0.420905568714925 0.876 0.51 1.71108658726488e-183 "0" "SLC39A1"
"ATP6V1A" 7.43018313739458e-188 0.439325819854589 0.911 0.553 1.73858855231896e-183 "0" "ATP6V1A"
"CMTM3" 4.16322057960325e-187 0.255999876081746 0.699 0.32 9.74151983421365e-183 "0" "CMTM3"
"ANKH" 1.13006890114607e-186 0.414858231779928 0.882 0.514 2.64424822179168e-182 "0" "ANKH"
