"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"AKAP9" 1.91694722938821e-60 0.376842096502303 0.288 0.469 4.48546482204547e-56 "0" "AKAP9"
"TCEAL4" 1.97792069434281e-60 0.347810652807381 0.352 0.559 4.62813663269275e-56 "0" "TCEAL4"
"NDN" 3.88621438791349e-60 0.292306169580419 0.187 0.302 9.09335304627878e-56 "0" "NDN"
"COL1A1" 1.93986527907072e-59 0.358463086182767 0.927 0.969 4.53909076649758e-55 "0" "COL1A1"
"UBA1" 5.2925393647647e-58 0.344363508332415 0.196 0.317 1.23840128596129e-53 "0" "UBA1"
"CYHR1" 5.36321122104872e-58 0.397975787919291 0.193 0.315 1.25493779361319e-53 "0" "CYHR1"
"NKTR" 7.10422039186629e-57 0.37920419948243 0.253 0.408 1.66231652949279e-52 "0" "NKTR"
"COX20" 3.67843582562815e-56 0.353437906913911 0.281 0.451 8.60717198838732e-52 "0" "COX20"
"SELENOK" 1.90185419135432e-55 0.321856135358461 0.388 0.638 4.45014862234998e-51 "0" "SELENOK"
"MNS1" 1.21155555925605e-54 0.306862419396449 0.177 0.281 2.83491885310322e-50 "0" "MNS1"
"WSB1" 1.33282920835542e-54 0.384854411200766 0.22 0.349 3.11868706463086e-50 "0" "WSB1"
"PIN4" 8.97058767840961e-53 0.401851835402813 0.255 0.404 2.09902781087106e-48 "0" "PIN4"
"HAPLN1" 2.2732812590541e-52 0.306740895532 0.217 0.338 5.31925081806069e-48 "0" "HAPLN1"
"MUM1" 3.89364095171631e-51 0.339063652065991 0.176 0.28 9.110730462921e-47 "0" "MUM1"
"P3H1" 6.30229834532146e-51 0.409734125902296 0.262 0.42 1.47467478982177e-46 "0" "P3H1"
"COL3A1" 6.53414582326634e-51 0.450516444754852 0.719 0.768 1.52892478118609e-46 "0" "COL3A1"
"PSMD4" 5.53656578611338e-49 0.310075911753555 0.433 0.681 1.29550102829267e-44 "0" "PSMD4"
"CLK1" 1.93100560989383e-47 0.374807043628651 0.174 0.273 4.51836002659058e-43 "0" "CLK1"
"ATP5MD" 1.6036417236429e-46 0.271343564430819 0.427 0.675 3.75236126915203e-42 "0" "ATP5MD"
"COL6A3" 2.11133104189383e-46 0.416284307938694 0.298 0.454 4.94030350492736e-42 "0" "COL6A3"
"MFSD10" 6.63950787972165e-46 0.345660568711402 0.17 0.266 1.55357844877607e-41 "0" "MFSD10"
"RASD1" 1.32440207095909e-44 0.879728913157721 0.319 0.32 3.09896840583717e-40 "0" "RASD1"
"DDX3X" 9.71978438775809e-43 0.444394210665162 0.244 0.38 2.27433234889151e-38 "0" "DDX3X"
"NDUFB11" 1.04483885306754e-42 0.355131104786659 0.674 0.836 2.44481843229275e-38 "0" "NDUFB11"
"WIPI2" 5.78779585112999e-41 0.379313407857722 0.203 0.312 1.35428635120591e-36 "0" "WIPI2"
"CDK5RAP3" 1.29608595590683e-40 0.377835266802001 0.172 0.265 3.03271152822639e-36 "0" "CDK5RAP3"
"MT-ND4" 2.52027973434209e-40 0.30560088332757 0.952 0.99 5.89720255038705e-36 "0" "MT-ND4"
"CEBPD" 2.38801233039468e-38 0.396906698478358 0.318 0.474 5.5877100518905e-34 "0" "CEBPD"
"HIST1H2AC" 4.99772702842673e-38 0.331803597702584 0.229 0.343 1.16941814738157e-33 "0" "HIST1H2AC"
"CCDC14" 6.25083451577938e-37 0.338535940333246 0.175 0.265 1.46263276834722e-32 "0" "CCDC14"
"ENAH" 8.97483973266321e-34 0.436872095038971 0.284 0.437 2.10002274904587e-29 "0" "ENAH"
"TLE4" 1.65710922203179e-33 0.85195267435888 0.282 0.292 3.87746986863219e-29 "0" "TLE4"
"EMILIN1" 3.78286213720446e-33 0.480846028280389 0.303 0.467 8.85151911484472e-29 "0" "EMILIN1"
"CD24" 7.46896138711095e-33 0.313415487044328 0.241 0.352 1.74766227497009e-28 "0" "CD24"
"YPEL3" 1.36087811431112e-32 0.331189604939777 0.178 0.262 3.1843186996766e-28 "0" "YPEL3"
"DDX24" 4.32721735393958e-32 0.436376580435816 0.395 0.63 1.01252558864832e-27 "0" "DDX24"
"TIMM8B" 1.11024066639709e-31 0.390008140515212 0.421 0.645 2.59785213530256e-27 "0" "TIMM8B"
"RBBP6" 5.54066240467804e-31 0.438170156312524 0.21 0.314 1.29645959607062e-26 "0" "RBBP6"
"SON" 9.07709340806898e-31 0.469778273621902 0.583 0.771 2.12394908655406e-26 "0" "SON"
"TKT" 2.82958586351133e-30 0.423339979100764 0.303 0.459 6.62094796203016e-26 "0" "TKT"
"COX5B" 2.71371058400568e-29 0.405463689740175 0.667 0.84 6.34981139551489e-25 "0" "COX5B"
"GADD45G" 5.86510123891223e-29 1.09694841062005 0.253 0.249 1.37237503889307e-24 "0" "GADD45G"
"GTF2A2" 2.32076946816763e-28 0.352818093607126 0.432 0.647 5.43036847856544e-24 "0" "GTF2A2"
"ATPAF2" 1.01113196681162e-26 0.392859937960508 0.173 0.253 2.36594768914252e-22 "0" "ATPAF2"
"TCF25" 1.22085517789019e-26 0.503061133082057 0.314 0.483 2.85667903074527e-22 "0" "TCF25"
"XIST" 1.42357342889834e-26 0.652101318804132 0.201 0.294 3.33101946627922e-22 "0" "XIST"
"WDR83OS" 2.27630270510757e-26 0.292644545375805 0.451 0.7 5.3263206996812e-22 "0" "WDR83OS"
"NFIC" 1.38206005345308e-25 0.416750297416459 0.306 0.455 3.23388231907486e-21 "0" "NFIC"
"ZFP36" 2.69900100580112e-25 0.276549255267701 0.248 0.345 6.31539245347404e-21 "0" "ZFP36"
"C4orf48" 3.66545757714898e-25 0.478756305985679 0.268 0.4 8.5768041847709e-21 "0" "C4orf48"
"B9D1" 4.2273243716578e-25 0.39365744327726 0.195 0.284 9.89151629724209e-21 "0" "B9D1"
"AC245595.1" 7.87459056858236e-25 0.417846952974141 0.188 0.274 1.84257544714259e-20 "0" "AC245595.1"
"SCNM1" 9.90649010391523e-24 0.553648422687401 0.23 0.337 2.31801961941512e-19 "0" "SCNM1"
"SEC62" 7.93901392734631e-23 0.318941218221279 0.445 0.696 1.85764986885976e-18 "0" "SEC62"
"RSRP1" 1.55242022951405e-21 0.796263639663171 0.35 0.413 3.63250809503992e-17 "0" "RSRP1"
"N4BP2L2" 2.09805049120024e-21 0.483389111911861 0.32 0.485 4.90922834435943e-17 "0" "N4BP2L2"
"SNRPD2" 4.72299893113225e-21 0.491849447836895 0.573 0.759 1.10513451989564e-16 "0" "SNRPD2"
"ESF1" 5.9005332370221e-21 0.514489500666806 0.288 0.43 1.3806657721308e-16 "0" "ESF1"
"TMEM259" 6.24912510806561e-21 0.785692554209527 0.316 0.36 1.46223278403627e-16 "0" "TMEM259"
"NDUFA1" 6.5490994191846e-21 0.255172502378139 0.47 0.707 1.532423773095e-16 "0" "NDUFA1"
"IER3" 1.46475196571717e-19 0.68989805695382 0.372 0.412 3.4273731245816e-15 "0" "IER3"
"DNM3OS" 2.25785709584959e-19 0.430969193223075 0.179 0.253 5.28315981857845e-15 "0" "DNM3OS"
"IRF2BP2" 1.36126787217101e-18 0.477667104156301 0.223 0.319 3.18523069409294e-14 "0" "IRF2BP2"
"VCAN" 2.56987670978608e-18 0.955463256474272 0.446 0.567 6.01325451322844e-14 "0" "VCAN"
"MYC" 4.48300306571615e-18 0.352623609341997 0.335 0.471 1.04897788734692e-13 "0" "MYC"
"CADM1" 9.04790272252362e-18 0.283374183009 0.442 0.64 2.1171187580433e-13 "0" "CADM1"
"DUSP1" 4.52840559147463e-16 0.429345141942775 0.496 0.577 1.05960162434915e-11 "0" "DUSP1"
"TSC22D3" 2.28305178794436e-15 0.46308919292208 0.328 0.47 5.342112878611e-11 "0" "TSC22D3"
"MCL1" 1.21608306169926e-14 0.578860733219599 0.277 0.391 2.8455127560701e-10 "0" "MCL1"
"COL12A1" 6.70231969698114e-14 0.506909289619696 0.222 0.304 1.56827578589662e-09 "0" "COL12A1"
"PRPSAP2" 7.11243071379663e-14 0.659105267031468 0.281 0.309 1.66423766272127e-09 "0" "PRPSAP2"
"S100A11" 2.11032971897785e-13 0.669973406646042 0.776 0.942 4.93796050943627e-09 "0" "S100A11"
"CHPF" 3.01910004437356e-13 0.528071009979612 0.202 0.28 7.06439219382968e-09 "0" "CHPF"
"THUMPD3-AS1" 6.07503086233951e-12 0.528670748550275 0.263 0.367 1.42149647147882e-07 "0" "THUMPD3-AS1"
"ZRANB2" 6.54689939958412e-12 0.551197951394126 0.346 0.518 1.53190899050869e-07 "0" "ZRANB2"
"COL11A1" 7.82048469307596e-12 0.855901808473111 0.356 0.424 1.82991521333284e-07 "0" "COL11A1"
"CCNL1" 1.86885373656903e-11 0.583138952686583 0.274 0.385 4.37293085819788e-07 "0" "CCNL1"
"FUS" 3.17580363982011e-11 0.426104677500141 0.42 0.636 7.43106293681509e-07 "0" "FUS"
"KLF6" 4.47170716395507e-11 0.549100510891 0.329 0.467 1.04633475929385e-06 "0" "KLF6"
"ZSWIM7" 2.67041839843122e-10 0.568665591617255 0.366 0.438 6.2485120104892e-06 "0" "ZSWIM7"
"MDH2" 3.35444851331005e-10 0.379744320710665 0.444 0.658 7.84907407629419e-06 "0" "MDH2"
"APRT" 6.86189531378342e-10 0.262230913371618 0.466 0.659 1.60561488447218e-05 "0" "APRT"
"PTH1R" 1.42953870184717e-09 0.535586355337698 0.296 0.414 3.34497760845219e-05 "0" "PTH1R"
"CIRBP" 9.2876014177177e-09 0.46848144843237 0.544 0.749 0.000217320585573176 "0" "CIRBP"
"MT-ND4L" 1.49812558381266e-08 0.511807431170256 0.471 0.631 0.000350546405356324 "0" "MT-ND4L"
"EIF4A2" 1.70993720805295e-08 0.393568207318187 0.402 0.585 0.000400108207312311 "0" "EIF4A2"
"LSM7" 1.92829313212015e-08 0.329306935330666 0.586 0.786 0.000451201309984795 "0" "LSM7"
"UQCRFS1" 3.83192688407859e-08 0.364787303294393 0.436 0.634 0.000896632571605549 "0" "UQCRFS1"
"FSCN1" 1.12516655171204e-07 0.517969670719854 0.3 0.414 0.00263277721435101 "0" "FSCN1"
"FLNA" 7.41726833762439e-07 0.646061250576366 0.463 0.603 0.0173556661832073 "0" "FLNA"
"COL5A1" 1.05135922961765e-05 0.709662896914452 0.412 0.547 0.246007546138234 "0" "COL5A1"
"SNHG8" 1.54953386774705e-05 0.531553588703543 0.337 0.479 0.362575429714132 "0" "SNHG8"
"MPRIP" 1.69363589763217e-05 0.64048741533602 0.258 0.297 0.396293863686951 "0" "MPRIP"
"COL5A2" 2.20571311598261e-05 0.364911184913923 0.517 0.749 0.516114812008771 "0" "COL5A2"
"SUMF2" 4.66427318155536e-05 0.596622810547482 0.23 0.303 1 "0" "SUMF2"
"MIR4458HG" 5.32972960413569e-05 0.527977982147061 0.198 0.256 1 "0" "MIR4458HG"
"RUNX2" 7.69108012228365e-05 0.375501272497299 0.437 0.634 1 "0" "RUNX2"
"COL16A1" 0.000106999508511873 0.66329240679935 0.273 0.319 1 "0" "COL16A1"
"FABP5" 0.000143678978667858 0.283109400971112 0.577 0.737 1 "0" "FABP5"
"GABPB1-AS1" 0.00026006572350149 0.722648617091825 0.255 0.296 1 "0" "GABPB1-AS1"
"SRSF11" 0.000339798056398307 0.378482991028831 0.489 0.738 1 "0" "SRSF11"
"POLR2L" 0.000571535592306713 0.292543418340033 0.597 0.799 1 "0" "POLR2L"
"TNC" 0.000716462098524284 0.568908431561036 0.436 0.57 1 "0" "TNC"
"CHD9" 0.000943687036719624 0.654676652155179 0.277 0.372 1 "0" "CHD9"
"IFITM2" 0.00141740769020989 0.461638644184537 0.42 0.603 1 "0" "IFITM2"
"FKBP10" 0.00328719800878945 0.474259861965836 0.463 0.645 1 "0" "FKBP10"
"CHN1" 0.00454934643402224 0.552468016671942 0.207 0.257 1 "0" "CHN1"
"CPE" 0 1.77493019919165 0.954 0.697 0 "1" "CPE"
"CTHRC1" 0 1.75346976332253 0.831 0.52 0 "1" "CTHRC1"
"SLPI" 0 1.69537968139019 0.269 0.03 0 "1" "SLPI"
"RPS3A" 0 1.67357310744241 1 0.982 0 "1" "RPS3A"
"HSPA6" 0 1.66841535192008 0.433 0.175 0 "1" "HSPA6"
"SRP72" 0 1.30257313912191 0.761 0.383 0 "1" "SRP72"
"SPARCL1" 0 1.2884356427119 0.292 0.082 0 "1" "SPARCL1"
"PDGFC" 0 1.27404080845691 0.493 0.162 0 "1" "PDGFC"
"IER5" 0 1.23977439324189 0.427 0.177 0 "1" "IER5"
"MFAP2" 0 1.20686221979987 0.628 0.211 0 "1" "MFAP2"
"GOLGA4" 0 1.15255377674098 0.686 0.326 0 "1" "GOLGA4"
"SFRP2" 0 1.14367917002542 0.319 0.069 0 "1" "SFRP2"
"HSPA2" 0 1.11250983889457 0.517 0.115 0 "1" "HSPA2"
"LAPTM4B" 0 1.09962484410274 0.802 0.449 0 "1" "LAPTM4B"
"CACYBP" 0 1.08039659552115 0.776 0.414 0 "1" "CACYBP"
"PALLD" 0 1.03948664745535 0.559 0.225 0 "1" "PALLD"
"HSPA5" 0 1.03784388828529 0.926 0.67 0 "1" "HSPA5"
"RBP4" 0 1.00506674021741 0.625 0.203 0 "1" "RBP4"
"PAICS" 0 0.963167821684473 0.709 0.329 0 "1" "PAICS"
"MARCKSL1" 0 0.947475443238016 0.885 0.454 0 "1" "MARCKSL1"
"LRRFIP2" 0 0.9415091659098 0.515 0.167 0 "1" "LRRFIP2"
"BRK1" 0 0.932304611352763 0.921 0.534 0 "1" "BRK1"
"SGMS2" 0 0.912365273225896 0.408 0.153 0 "1" "SGMS2"
"HSPA1A1" 0 0.898242517360719 0.953 0.804 0 "1" "HSPA1A"
"ATF3" 0 0.892549008291855 0.536 0.207 0 "1" "ATF3"
"PLRG1" 0 0.887139914015919 0.535 0.156 0 "1" "PLRG1"
"PDGFRA" 0 0.862861509210837 0.469 0.17 0 "1" "PDGFRA"
"FAM198B" 0 0.858864351384865 0.327 0.075 0 "1" "FAM198B"
"MSMO1" 0 0.839508949687617 0.436 0.145 0 "1" "MSMO1"
"HERPUD1" 0 0.833720718227537 0.637 0.273 0 "1" "HERPUD1"
"MEG3" 0 0.831807587336561 0.277 0.067 0 "1" "MEG3"
"TPT1" 0 0.817495619528172 0.997 0.929 0 "1" "TPT1"
"FIBIN" 0 0.81460359687531 0.32 0.053 0 "1" "FIBIN"
"PPAT" 0 0.795548577193257 0.396 0.106 0 "1" "PPAT"
"RPL32" 0 0.768372909927188 1 0.99 0 "1" "RPL32"
"BTG2" 0 0.761157744653547 0.381 0.112 0 "1" "BTG2"
"ZFAND2A" 0 0.758516724148518 0.524 0.202 0 "1" "ZFAND2A"
"PPID" 0 0.742709096774158 0.549 0.203 0 "1" "PPID"
"TMEM165" 0 0.742546914035255 0.62 0.288 0 "1" "TMEM165"
"SERPINF1" 0 0.735643132670591 0.809 0.35 0 "1" "SERPINF1"
"TUBB2B" 0 0.73067107533706 0.484 0.119 0 "1" "TUBB2B"
"FOS" 0 0.726305882178014 0.84 0.605 0 "1" "FOS"
"WISP1" 0 0.699955493131871 0.344 0.092 0 "1" "WISP1"
"ITM2C" 0 0.692743177603794 0.786 0.322 0 "1" "ITM2C"
"ARPC4" 0 0.690049511131492 0.698 0.302 0 "1" "ARPC4"
"HPF1" 0 0.689351447835171 0.719 0.347 0 "1" "HPF1"
"PRRC2C" 0 0.685772883820085 0.749 0.397 0 "1" "PRRC2C"
"EGR1" 0 0.68148896534843 0.593 0.251 0 "1" "EGR1"
"ITM2B" 0 0.679354034985664 0.902 0.598 0 "1" "ITM2B"
"PRDX21" 0 0.678087940633865 0.87 0.396 0 "1" "PRDX2"
"EEF1A1" 0 0.677149970358434 1 0.974 0 "1" "EEF1A1"
"DNAJB1" 0 0.668944054740333 0.778 0.476 0 "1" "DNAJB1"
"LRP12" 0 0.663287536303002 0.376 0.093 0 "1" "LRP12"
"CCDC3" 0 0.661703185943626 0.469 0.177 0 "1" "CCDC3"
"HSPA1B" 0 0.657463078440541 0.844 0.552 0 "1" "HSPA1B"
"CRYBA2" 0 0.650225436745392 0.265 0.069 0 "1" "CRYBA2"
"DNAJA1" 0 0.645297675886653 0.791 0.487 0 "1" "DNAJA1"
"TIMP3" 0 0.63785704124208 0.481 0.213 0 "1" "TIMP3"
"NDN1" 0 0.632528685862797 0.66 0.147 0 "1" "NDN"
"MAFF" 0 0.631604790421893 0.266 0.061 0 "1" "MAFF"
"CLNS1A" 0 0.630967171423045 0.811 0.409 0 "1" "CLNS1A"
"VGLL4" 0 0.624280943061605 0.645 0.259 0 "1" "VGLL4"
